"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000266088.1",84.3153066050395,-2.38968765332062,0.359105650667392,-7.08742631519272,1.36629005579242e-12,5.32504307296341e-10,NA,NA
"ENSG00000104814.8",1075.66776461553,-2.17591339940454,0.323374645266208,-7.0870471456041,1.3700372078915e-12,5.32504307296341e-10,"MAP4K1","11184"
"ENSG00000268027.1",182.071719880309,-2.24775535726393,0.337603619503619,-7.0855030913024,1.38540077209783e-12,5.32504307296341e-10,NA,NA
"ENSG00000143119.8",2543.19617386854,-2.23520418589461,0.327429701888972,-7.06653045860022,1.58855317867472e-12,6.02659940979819e-10,"CD53","963"
"ENSG00000213443.2",310.327521144622,-1.8283858047774,0.267659371949373,-7.06300012502146,1.62945576159802e-12,6.10252073176941e-10,NA,NA
"ENSG00000261471.1",30.6905693199957,-2.4608185498348,0.366284245765361,-7.056671974154,1.7053755072754e-12,6.30600371120621e-10,NA,NA
"ENSG00000177455.7",926.115194183231,-2.23313183339707,0.384876232039808,-7.04482522568486,1.8569443812289e-12,6.78063240805733e-10,"CD19","930"
"ENSG00000163534.10",808.142992110464,-2.02195957450856,0.384771943042178,-7.01804352031658,2.24996471135691e-12,8.11431717878496e-10,"FCRL1","115350"
"ENSG00000007312.8",814.335270236499,-2.31268385442214,0.347501932457347,-7.01227202376131,2.34478740920609e-12,8.35316217045465e-10,"CD79B","974"
"ENSG00000102879.11",3721.57844743704,-2.20998840118772,0.331330430396446,-6.96306111205208,3.32957295200558e-12,1.17184921775888e-09,"CORO1A","11151"
"ENSG00000198286.5",870.424296726478,-2.19871250822925,0.333668880478781,-6.95503948847538,3.52463295551448e-12,1.2257330701963e-09,"CARD11","84433"
"ENSG00000227039.2",837.573341505909,-2.27061853939032,0.348723066509395,-6.95249087681273,3.58892052144744e-12,1.23340642673556e-09,"ITGB2-AS1","100505746"
"ENSG00000126882.8",713.453641720769,-2.08442461527913,0.309252627221293,-6.94079842903181,3.89890000473624e-12,1.32435659230646e-09,"FAM78A","286336"
"ENSG00000170054.10",37.6227640247523,-1.62254770251386,0.377255061787276,-6.9264407945112,4.31560370906748e-12,1.4422152214344e-09,"SERPINA9","327657"
"ENSG00000156738.13",4365.58305200421,-2.21019789085922,0.384747116695983,-6.9251029382003,4.35658615628905e-12,1.4422152214344e-09,"MS4A1","931"
"ENSG00000234572.1",8.53894142436183,-2.73573302231396,0.379977796587406,-6.92347066282531,4.40710447938192e-12,1.4422152214344e-09,"LINC01800","101927438"
"ENSG00000074966.6",331.498088321634,-2.11461184709672,0.317215005040951,-6.92125856241771,4.47648567605373e-12,1.4422152214344e-09,"TXK","7294"
"ENSG00000172794.15",412.611503174915,-2.0562067582785,0.31407422296371,-6.92074554419841,4.49272850713852e-12,1.4422152214344e-09,"RAB37","326624"
"ENSG00000166501.8",1010.7152091277,-2.22199730003131,0.33718475572181,-6.90900657602365,4.88059337881055e-12,1.54969449762841e-09,"PRKCB","5579"
"ENSG00000009790.10",1273.76765326247,-2.16434840794559,0.333005191787662,-6.90453589429007,5.03678211446488e-12,1.58209117341665e-09,"TRAF3IP3","80342"
"ENSG00000182502.2",14.1347126173462,-2.49609709398308,0.375000002942564,-6.86823139026403,6.50027268348881e-12,2.02006346414973e-09,NA,NA
"ENSG00000072818.7",2536.48800442855,-2.0569250980406,0.314701987277865,-6.86348593345361,6.72001447308947e-12,2.06636908197779e-09,"ACAP1","9744"
"ENSG00000076662.5",1119.68661222318,-1.72714068429786,0.25858735416803,-6.86114091560577,6.83127344551339e-12,2.07869958219101e-09,"ICAM3","3385"
"ENSG00000115085.9",1699.15805752369,-2.07997270055496,0.32026191398576,-6.82825955747092,8.59509754878464e-12,2.56901830951351e-09,"ZAP70","7535"
"ENSG00000180448.6",5267.84849633864,-1.93398252556981,0.293107504276353,-6.82786928313734,8.61850589936753e-12,2.56901830951351e-09,"ARHGAP45","23526"
"ENSG00000023892.9",1834.63967551912,-1.77630953745834,0.266755449164403,-6.82485286703876,8.80154754362139e-12,2.59707885701281e-09,"DEF6","50619"
"ENSG00000127084.13",1757.51026145576,-1.72571189095806,0.259055481717738,-6.78979216170247,1.1229520167541e-11,3.25711181248013e-09,"FGD3","89846"
